hotel_name,location,rating,review_score,num_reviews,room_score,room_type,bed_type,price_bdt,price_eur,source
Avani Ao Nang Cliff Krabi Resort - SHA Extra Plus,Ao Nang Beach,8.3,Very Good,365,8.7,AVANI Room,1 double or 2 twins,174864.0,1457.2,Booking.com
Selina Serenity Rawai Phuket,Rawai Beach,8.0,Very Good,182,8.6,Cabana,1 full bed,168945.0,1407.88,Booking.com
Sareeraya Villas & Suites - SHA Extra Plus,"Chaweng Beachfront, Chaweng",8.6,Excellent,185,9.1,Luxury Suite,1 king bed,417704.0,3480.87,Booking.com
100 Islands Resort & Spa,Suratthani,7.9,Good,136,8.2,Superior Double or Twin Room,Multiple bed types,58225.0,485.21,Booking.com
Furama Chiang Mai,"Chang Phueak, Chiang Mai",7.6,Good,375,,Superior Double or Twin Room,Multiple bed types,88971.0,741.42,Booking.com
Melia Chiang Mai,"Chang Moi, Chiang Mai",9.0,Wonderful,336,9.4,Meliá Room,1 double or 2 twins,204194.0,1701.62,Booking.com
Pinnacle Samui Resort SHA Plus,Mae Nam,8.1,Very Good,341,8.3,Hotel Room,1 queen bed,120132.0,1001.1,Booking.com
Veranda Resort & Villas Hua Hin Cha Am,Cha Am,8.3,Very Good,195,8.7,Pool King Suite with Private Pool,1 king bed,393725.0,3281.04,Booking.com
Pullman Bangkok King Power,"Pratunam, Bangkok",8.8,Excellent,997,9.2,Executive Double Room with Executive Lounge Access,1 king bed,453858.0,3782.15,Booking.com
Stay Inn Nathon Samui,Nathon,8.1,Very Good,248,8.5,Deluxe Double Room with Side Sea View,1 full bed,64048.0,533.73,Booking.com
Riverhouse Resort,Mae Sariang,7.9,Good,96,8.0,Double Room,1 queen bed,97042.0,808.68,Booking.com
Park Plaza Sukhumvit Bangkok,"Khlong Toei, Bangkok",8.0,Very Good,997,8.6,Superior Double or Twin Room,1 double or 2 twins,170217.0,1418.48,Booking.com
?????????????????? RuenRomMai Resort,Ban Klang Mun,9.0,Wonderful,6,8.3,One-Bedroom House,1 full bed,35744.0,297.87,Booking.com
Sinkiat Thani Hotel,Satun,7.2,Good,56,,Standard Double or Twin Room,1 double or 2 twins,51109.0,425.91,Booking.com
Little Paradise Haad Rin Koh Phangan,"Haad Rin Nok, Haad Rin",8.3,Very Good,321,8.4,Twin Room with Balcony,2 twin beds,166259.0,1385.49,Booking.com
Livotel Hotel Lat Phrao Bangkok,Bangkok,7.1,Good,575,,Superior Double Room,1 king bed,42039.0,350.32,Booking.com
Nice Beach Resort Koh Pha-ngan,Thong Nai Pan Yai,8.6,Excellent,238,8.5,Family Room (4 Adults),2 queen beds,110628.0,921.9,Booking.com
Chedi Home -SHA Extra Plus,"Si Phum, Chiang Mai",8.7,Excellent,479,8.9,Standard Double Room,1 king bed,67030.0,558.58,Booking.com
Home Phang-Nga Guesthouse,Phangnga,9.1,Wonderful,182,9.2,Standard Double Room,1 king bed,58225.0,485.21,Booking.com
Suankaew Art Cottage,Ban Tha Sai,8.0,Very Good,40,,Studio with Balcony,1 king bed,87400.0,728.33,Booking.com
Melati Beach Resort & Spa - SHA Extra Plus Certified,Choeng Mon Beach,8.3,Very Good,252,8.9,Grand Deluxe Double or Twin Room,Multiple bed types,418977.0,3491.48,Booking.com
B Space Residence,Nong Prue,8.1,Very Good,91,8.3,Standard Double Room,1 queen bed,43611.0,363.42,Booking.com
????????? ????? ??????? Sohground Boutique Resort,Prakhon Chai,7.2,Good,18,,Standard King Room,1 king bed,32347.0,269.56,Booking.com
La Ong Lay,"Aow Yai Beach, Ko Phayam",7.9,Good,66,,Wooden Bungalow with Fan Partial Seaview,1 king bed,161737.0,1347.81,Booking.com
Terre Terrace Glamping - Doichang,Ban Huai Khai,8.0,Very Good,24,8.0,Bungalow,1 twin bed,42052.0,350.43,Booking.com
Chura Samui - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,569,8.7,Grand Deluxe Double or Twin Room,Multiple bed types,163572.0,1363.1,Booking.com
2 Feel Bed Station,Udon Thani,8.4,Very Good,323,8.7,Modern Double Room,1 queen bed,51109.0,425.91,Booking.com
Travelodge Nimman,Chiang Mai,9.3,Wonderful,35,9.5,Superior,Multiple bed types,92844.0,773.7,Booking.com
Tea Tree Boutique Resort,Rawai Beach,8.9,Excellent,90,9.1,Deluxe Double Room with Balcony,1 king bed,97042.0,808.68,Booking.com
At Samui Haus,Lipa Noi,8.2,Very Good,161,8.4,Superior Garden Room,1 queen bed,118269.0,985.58,Booking.com
Baan Duangkaew Resort SHA Extra Plus,"Khao Takiab, Hua Hin",8.7,Excellent,139,9.2,Deluxe Room,1 king bed,199852.0,1665.43,Booking.com
BelAire Bangkok Sukhumvit - SHA Extra Plus,"Wattana, Bangkok",7.9,Good,986,8.1,Special Offer  Deluxe Double or Twin,Multiple bed types,150234.0,1251.95,Booking.com
BB Mantra Boutique Hotel,"Si Phum, Chiang Mai",8.6,Excellent,365,8.8,Superior room with Street View (No balcony),Multiple bed types,90832.0,756.93,Booking.com
The Moon Night Hotel,"Khaosan, Bangkok",7.9,Good,138,8.0,Family Room,2 twin beds,110075.0,917.29,Booking.com
Areeya Resort,Watthana Nakhon,8.9,Excellent,35,9.2,Superior Bungalow,1 full bed,40758.0,339.65,Booking.com
Baanfah Resort Samui,Mae Nam,8.5,Very Good,290,8.9,Superior Double or Twin Room with Garden View,1 double or 2 twins,124538.0,1037.82,Booking.com
"The Briza Beach Resort, Samui - SHA Plus","Chaweng Beachfront, Chaweng",7.2,Good,624,,Deluxe Double Room with Balcony,1 king bed,177920.0,1482.67,Booking.com
The Moonlight Resort,Ban Chang,8.3,Very Good,44,8.8,Economy Double Room,1 full bed,37847.0,315.39,Booking.com
Maraya Hotel & Resort -SHA Plus,"Chiang Mai Riverside, Chiang Mai",8.5,Very Good,41,8.9,Pool Deluxe,1 double or 2 twins,140213.0,1168.44,Booking.com
Tungtong Beach Villas,Ban Khao Khwang (2),8.5,Very Good,52,9.3,Deluxe Queen Room with Two Queen Beds - Garden View,2 queen beds,322551.0,2687.92,Booking.com
Anmol Hotel Thai Smile Group,Pattaya,8.1,Very Good,59,8.2,Deluxe Double or Twin Room with Balcony,1 double or 2 twins,37032.0,308.6,Booking.com
The Neuf@Ratchada,"Ratchadaphisek, Ban Na Song",8.8,Excellent,332,9.2,King Room,1 king bed,74677.0,622.31,Booking.com
The Contrast i Hotel,Pluak Daeng,7.6,Good,31,,Standard Twin Room,2 twin beds,145564.0,1213.03,Booking.com
Pongsakorn Boutique Resort -SHA Extra Plus,Lat Krabang,7.6,Good,745,,Superior King Room,1 king bed,57514.0,479.28,Booking.com
Pullman Khao Lak Resort,Khao Lak,8.2,Very Good,113,8.9,Deluxe King or Twin Room with Pool View,Multiple bed types,118127.0,984.39,Booking.com
The Mangrove by Blu Monkey Phuket - SHA Extra Plus,Panwa Beach,8.3,Very Good,414,8.9,"Studio Villa with Garden View Free Kayak, Paddle Board and Playground",1 double or 2 twins,216728.0,1806.07,Booking.com
Mee Place,Amphoe Kumphawapi,8.3,Very Good,21,8.3,Standard Double Room,1 king bed,38170.0,318.08,Booking.com
Coral View Resort,Ko Tao,8.5,Very Good,270,8.7,Hillside Cabin with Air Conditioning,1 full bed,129698.0,1080.82,Booking.com
POR Santitham,"Si Phum, Chiang Mai",8.4,Very Good,499,8.6,Double Room,1 king bed,87985.0,733.21,Booking.com
Beyond Resort Khaolak - SHA Plus,"Bangsak Beach, Khao Lak",8.4,Very Good,87,8.6,Villa Garden,1 king bed,302579.0,2521.49,Booking.com
Had Lamae Resort,Ban Pak Nam Lamae (1),6.8,Review score,46,,Standard Double or Twin Room,1 twin bed,58225.0,485.21,Booking.com
Banbua Grand Udon,Udon Thani,8.8,Excellent,329,9.2,Superior Queen Room,1 full bed,85043.0,708.69,Booking.com
Paradox Resort Phuket - SHA Plus,Karon Beach,8.2,Very Good,325,8.8,Superior Twin Room,2 twin beds,252501.0,2104.18,Booking.com
??????? ???? ????? ???????,Tha Kradan,7.6,Good,14,8.2,Queen Suite with Spa Bath,1 queen bed,340111.0,2834.26,Booking.com
Citrus Sukhumvit 13 Nana Bangkok by Compass Hospitality,"Wattana, Bangkok",7.3,Good,927,,Superior Room,Multiple bed types,92680.0,772.33,Booking.com
Home of River Kwai,Kanchanaburi City,9.5,Exceptional,569,9.6,Standard Twin Room with Shared Bathroom,4 twin beds,27754.0,231.28,Booking.com
Baan Nilrath Hotel - SHA Extra Plus,Hua Hin,8.6,Excellent,263,8.9,Superior Double Room,1 queen bed,103467.0,862.22,Booking.com
Kokotel Krabi Oasis,Ao Nang Beach,8.4,Very Good,590,9.0,Deluxe Twin Room,2 twin beds,57116.0,475.97,Booking.com
Nap In Fest,"Fa Ham, Chiang Mai",8.6,Excellent,165,8.9,Deluxe Double Room,1 full bed,71763.0,598.02,Booking.com
Baan Laimai Beach Resort & Spa - SHA Extra Plus,Patong Beach,8.1,Very Good,2351,8.5,Superior Double or Twin Room - No View,1 double or 2 twins,362939.0,3024.49,Booking.com
ibis Chiang Mai Nimman Journeyhub,"Chang Phueak, Chiang Mai",8.8,Excellent,36,9.3,Standard Double Room,1 full bed,65148.0,542.9,Booking.com
Riverside Palm Resort - Surat Thani,Ban Bang Pho,8.6,Excellent,26,8.8,Bungalow,1 king bed,34935.0,291.12,Booking.com
Promma Farm Resort,Ban Tat Ton (1),8.2,Very Good,13,8.5,Queen Room with Garden View,1 king bed,42052.0,350.43,Booking.com
Barali Beach Resort & Spa,"Klong Prao Beach, Ko Chang",8.1,Very Good,338,8.4,Premier Deluxe Villa,"2 beds (1 sofa bed, 1 queen)",216428.0,1803.57,Booking.com
Bangkok Marriott Hotel Sukhumvit,"Wattana, Bangkok",8.6,Excellent,1293,9.1,Deluxe Room with King Bed,1 king bed,400673.0,3338.94,Booking.com
Villa The Wave,Amphoe Koksamui,8.8,Excellent,5,8.5,Three-Bedroom Villa,"4 beds (2 twins, 2 queens)",673661.0,5613.84,Booking.com
SR Residence Hotel,Phetchabun,8.3,Very Good,173,8.6,Standard Double or Twin Room,1 queen bed,77634.0,646.95,Booking.com
"Paradise Beach Resort, Koh Samui - SHA Extra Plus",Mae Nam,8.3,Very Good,227,8.7,Grand Deluxe Double Room,1 king bed,262015.0,2183.46,Booking.com
Pavilion Samui Villas and Resort - SHA Extra Plus,Lamai,8.5,Very Good,281,8.7,Deluxe Double Room with Balcony,Multiple bed types,294824.0,2456.87,Booking.com
Riverside House Hotel SHA Extra Plus,"Chang Moi, Chiang Mai",8.6,Excellent,183,8.7,Deluxe Plus with Balcony,1 double or 2 twins,81516.0,679.3,Booking.com
YYK Homestay,Ban Khlong Krang,6.8,Review score,26,,Four-Bedroom House,"5 beds (2 twins, 2 fulls, 1 sofa bed)",148475.0,1237.29,Booking.com
Aster Hotel and Residence by At Mind,Pattaya,8.8,Excellent,480,9.1,New Deluxe Room,1 queen bed,149501.0,1245.84,Booking.com
Life Hotel Rong Khun,Ban Mai,8.4,Very Good,27,8.4,Queen Room,1 queen bed,49104.0,409.2,Booking.com
The Areaac,Ban Chomphu,8.2,Very Good,17,8.1,Standard Double Room,1 full bed,42052.0,350.43,Booking.com
Phuphet Hill Resort,Phu Ruea,7.6,Good,54,,Double or Twin Room with View,"2 beds (1 twin, 1 queen)",45286.0,377.38,Booking.com
OYO 75397 Is Am Are Stay Boutique,Ratchaburi,8.9,Excellent,88,9.1,Deluxe King Room,1 king bed,51490.0,429.08,Booking.com
Mut Mee Garden Guest House,Nong Khai,8.3,Very Good,384,8.3,Double or Twin Room with Shared Bathroom,1 double or 2 twins,25231.0,210.26,Booking.com
Mercure Chiang Mai,"Si Phum, Chiang Mai",7.9,Good,162,8.4,Standard King Room,1 king bed,72366.0,603.05,Booking.com
Lotus Pang Suan Kaew Hotel,Chiang Mai,7.3,Good,394,,Superior Twin Room,2 twin beds,72588.0,604.9,Booking.com
Ailay,"Aow Yai Beach, Ko Phayam",8.7,Excellent,52,8.7,Deluxe Double Room with Partial Sea View,1 king bed,226432.0,1886.93,Booking.com
Bor Saen Pool Villa,Bor Saen,8.5,Very Good,221,8.5,One-Bedroom Villa with Private Pool,1 queen bed,280453.0,2337.11,Booking.com
Apsara Beachfront Resort & Villa - SHA Extra Plus,"Laem Pakarang Beach, Khao Lak",8.7,Excellent,380,9.0,Superior Double or Twin Room,1 double or 2 twins,260259.0,2168.82,Booking.com
The Elysium Pra?umnak Pattaya - By SHG,Pattaya South,9.1,Wonderful,44,9.5,Executive Suite,1 king bed,226456.0,1887.13,Booking.com
Le Resort and Villas,Rawai Beach,8.9,Excellent,478,9.3,Deluxe Twin Room,2 twin beds,132463.0,1103.86,Booking.com
Chi Art Series Hotel Bangkok,"Khlong Toei, Bangkok",9.2,Wonderful,345,9.7,Superior Double or Twin Room with City View,1 double or 2 twins,207496.0,1729.13,Booking.com
Khao Sok Tree House Resort,Khao Sok National Park,8.5,Very Good,169,8.3,Standard Bungalow,1 full bed,116451.0,970.42,Booking.com
Cinnamon Beach Villas,"Thong Takian, Lamai",8.0,Very Good,300,8.4,Bungalow with Sea View,1 full bed,103512.0,862.6,Booking.com
DOO KHAO,Ban Chong Tako,7.5,Good,2,8.8,Standard Queen Room,1 twin bed,41219.0,343.49,Booking.com
Montien House - SHA Plus,"Chaweng City Center , Chaweng",8.0,Very Good,674,8.3,Superior Room with Garden View,Multiple bed types,148932.0,1241.1,Booking.com
Chala Number6,"Si Phum, Chiang Mai",8.9,Excellent,301,9.5,Deluxe Twin Room,2 twin beds,426990.0,3558.25,Booking.com
Hyatt Place Bangkok Sukhumvit - SHA Extra Plus Certified,"Khlong Toei, Bangkok",8.4,Very Good,345,9.0,Standard King no Sofa Bed,1 king bed,228309.0,1902.58,Booking.com
The Lamai Samui - formerly Le Méridien Koh Samui Resort & Spa - SHA Extra Plus,"Thong Takian, Lamai",8.9,Excellent,521,9.4,Deluxe Suite - The Veranda,1 full bed,501959.0,4182.99,Booking.com
Touch the Wind,Chaiyaphum,9.3,Wonderful,35,9.2,Deluxe Double Room with Balcony,1 queen bed,56192.0,468.27,Booking.com
Moose Hotel Chiangmai,"Wat Ket, Chiang Mai",8.8,Excellent,210,9.2,Deluxe Double Room,1 king bed,139741.0,1164.51,Booking.com
G Residence,Pattaya South,8.7,Excellent,439,8.8,Studio with Balcony,1 king bed,72274.0,602.28,Booking.com
?????????????????,Sichon,9.1,Wonderful,91,9.2,Standard Double Room,1 king bed,72200.0,601.67,Booking.com
Hyde Park Chiangmai,Chiang Mai,8.8,Excellent,519,9.2,Deluxe Park View,1 double or 2 twins,108445.0,903.71,Booking.com
Sandalwood Luxury Villa Resort - SHA Extra Plus,Lamai,8.9,Excellent,246,9.2,One-Bedroom Suite with Spa Bath,1 king bed,241497.0,2012.48,Booking.com
Thai House Beach Resort,Lamai,8.0,Very Good,118,8.1,Standard Classic Double or Twin Room,1 double or 2 twins,213309.0,1777.58,Booking.com
Koh Jum Delight Beach,Ko Jum,8.5,Very Good,100,8.6,Standard Double Room with Fan,1 full bed,116451.0,970.42,Booking.com
Theatre Residence,"Riverside, Bangkok",8.7,Excellent,793,9.2,Deluxe Room,Multiple bed types,197507.0,1645.89,Booking.com
Marvin Suites Hotel,"Sathorn, Bangkok",8.3,Very Good,362,8.6,Deluxe Studio,1 full bed,57917.0,482.64,Booking.com
Chada Mantra Hotel,"Si Phum, Chiang Mai",8.9,Excellent,788,9.1,Superior Double or Twin Room,1 king bed,98198.0,818.32,Booking.com
The Chill House,Ban Wang Khanai,7.7,Good,29,8.4,Deluxe Room (2 Adults + 1 Child),1 king bed,39593.0,329.94,Booking.com
Siamgrand Hotel,Udon Thani,8.2,Very Good,179,8.7,Superior King Room,1 king bed,71164.0,593.03,Booking.com
Centara Grand at Central Plaza Ladprao Bangkok,"Chatuchak, Bangkok",8.6,Excellent,562,8.9,Deluxe Twin Room,2 twin beds,222398.0,1853.32,Booking.com
De Lit,Ubon Ratchathani,8.4,Very Good,197,8.2,Standard King Room,1 king bed,80337.0,669.48,Booking.com
Mariya Boutique Hotel At Suvarnabhumi Airport,Lat Krabang,8.0,Very Good,1051,8.2,Superior Queen Room-Room only-No Airport Transfer,1 queen bed,75111.0,625.92,Booking.com
Gold Airport Suites,Lat Krabang,7.1,Good,1376,,Standard Double Room,1 queen bed,61342.0,511.18,Booking.com
River Tree Resort,Amphoe Chiang Khan,8.6,Excellent,25,8.6,Junior Suite with Balcony,1 king bed,248780.0,2073.17,Booking.com
Maesalong Villa,Mae Salong,7.5,Good,63,,Standard Double Room with Fan,1 full bed,51756.0,431.3,Booking.com
The Chic Lipe,Ko Lipe,8.8,Excellent,175,8.9,Double Bed in Mixed Dormitory Room,1 full bed,80869.0,673.91,Booking.com
Marrakesh Hua Hin Resort & Spa,Hua Hin,8.4,Very Good,308,8.7,Fountain Pool Suite,1 queen bed,376847.0,3140.39,Booking.com
Top North Hotel,"Si Phum, Chiang Mai",7.2,Good,213,,Standard Double or Twin Room,1 double or 2 twins,53373.0,444.78,Booking.com
Villa De Khaosan by Chillax - SHA Extra Plus,"Khaosan, Bangkok",8.2,Very Good,1420,8.7,Classic Double Room Street View,1 full bed,135374.0,1128.12,Booking.com
Bestiny Hotel & Restaurant Phetchabun,Ban Na Chaliang,7.7,Good,26,8.1,Standard Double Room,1 king bed,53697.0,447.48,Booking.com
Ban Ao Thong,Trang,8.4,Very Good,137,8.6,Standard Double Room - No Window,1 queen bed,45286.0,377.38,Booking.com
Shama Petchburi 47 Bangkok - Former Amari Residences Bangkok,"Huai Khwang, Bangkok",8.2,Very Good,128,8.4,Junior Suite,"2 beds (1 sofa bed, 1 queen)",238443.0,1987.02,Booking.com
Asa Hotel,"Hai Ya, Chiang Mai",9.2,Wonderful,249,9.3,Standard Double Room,1 king bed,99630.0,830.25,Booking.com
NornD@Rayong,Ban Khao Yai Chum,9.7,Exceptional,4,10.0,Double Room,1 full bed,69871.0,582.26,Booking.com
Pullman Bangkok Grande Sukhumvit,"Wattana, Bangkok",7.2,Good,828,,Premium Deluxe King Room with City View,1 queen bed,280345.0,2336.21,Booking.com
House of Sanskara,"Haad Rin Nok, Haad Rin",8.8,Excellent,304,8.6,Bungalow with Garden View,1 king bed,167976.0,1399.8,Booking.com
Plaza Huahin,"Hua Hin Night Market, Hua Hin",7.6,Good,612,,Budget Double Room,1 queen bed,35487.0,295.73,Booking.com
Radisson Resort and Suites Phuket,Kamala Beach,6.3,Review score,319,,One-Bedroom Suite with Terrace,,207671.0,1730.59,Booking.com
Lamai Coconut Beach Resort,"Lamai City Center, Lamai",8.1,Very Good,376,8.4,Superior - Pool View,1 queen bed,135213.0,1126.78,Booking.com
Mida Grande Hotel Dhavaravati Nakhon Pathom - SHA PLUS,Nakhon Pathom,7.9,Good,73,8.5,Deluxe Double or Twin Room,1 double or 2 twins,145331.0,1211.09,Booking.com
POSH 41,Salaya,6.7,Review score,117,,Twin Room with Shared Bathroom,1 bunk bed,31701.0,264.18,Booking.com
"Holiday Inn Express Bangkok Sathorn, an IHG Hotel - SHA Extra Plus Certified","Bang Rak, Bangkok",8.4,Very Good,894,8.9,Standard Queen Room,1 queen bed,127333.0,1061.11,Booking.com
iRabbit Hotel,Prachin Buri,8.6,Excellent,175,9.0,Standard King Room,1 king bed,68577.0,571.48,Booking.com
Apartamentos Montenegro en playa Maspalomas,San Bartolomé,9.3,Wonderful,3,10.0,Apartment with Sea View,"2 beds (1 full, 1 sofa bed)",167876.0,1398.97,Booking.com
TaCH Madrid Airport,"Barajas, Madrid",8.4,Very Good,6382,8.8,Double or Twin Room with parking included,1 double or 2 twins,382342.0,3186.18,Booking.com
Can Digus,Fornells,8.7,Excellent,169,8.6,One-Bedroom Apartment,2 twin beds,165353.0,1377.94,Booking.com
Finca Curbelo,Uga,9.3,Wonderful,63,9.5,Apartment with Terrace,1 full bed,462988.0,3858.23,Booking.com
Grupotel Monte Feliz,San Agustin,8.0,Very Good,5125,8.2,Two-Bedroom Apartment (2 Adults),"5 beds (4 twins, 1 sofa bed)",195917.0,1632.64,Booking.com
Rio Sil Carballo,Carballo,8.9,Excellent,206,9.3,Double Room with Private Bathroom,1 full bed,170575.0,1421.46,Booking.com
Hostal Aranda,Peniscola,8.5,Very Good,308,8.6,Double Room with Balcony - First Floor,1 full bed,224532.0,1871.1,Booking.com
Apartamentos Playazul,Playa de las Americas,7.4,Good,1986,,Two-Bedroom Apartment,"5 beds (4 twins, 1 sofa bed)",299263.0,2493.86,Booking.com
Hotel Rural y SPA Kinedomus Bienestar,Aranda de Duero,8.5,Very Good,100,8.8,Double Room,1 queen bed,299724.0,2497.7,Booking.com
Mimosas Suites Banús,"Puerto Banus, Marbella",8.7,Excellent,154,9.1,Two-Bedroom Superior Penthouse with parking and spa,4 twin beds,654777.0,5456.48,Booking.com
Ramada Residences by Wyndham Costa del Sol,Mijas Costa,8.2,Very Good,726,8.5,Superior Two bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",258038.0,2150.32,Booking.com
Hof van Holland Carihuela,"Carihuela, Torremolinos",7.7,Good,70,,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",273267.0,2277.22,Booking.com
Apartamentos Wamba,"City Center, Conil de la Frontera",9.6,Exceptional,108,9.8,One-Bedroom Apartment,1 queen bed,203715.0,1697.62,Booking.com
Palmanova Beach Apartments by TRH,Palmanova,9.0,Wonderful,482,9.4,Studio (2 Adults),2 twin beds,283415.0,2361.79,Booking.com
Casa Rural Finca Las Dulces,Chío,9.7,Exceptional,28,9.4,Apartment - Split Level,2 twin beds,146207.0,1218.39,Booking.com
Villa Sun and sea 4 front de Mer Playa Rocca Costa teguise,Costa Teguise,8.7,Excellent,44,8.8,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",197379.0,1644.82,Booking.com
Ancha Village,"Marbella Old Town, Marbella",9.3,Wonderful,102,9.5,Superior Suite,1 full bed,445461.0,3712.18,Booking.com
Castillo,Estepona,7.3,Good,9,,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",177526.0,1479.38,Booking.com
Apartament els Masovers,La Pera,9.4,Wonderful,28,9.6,One-Bedroom Apartment,1 full bed,252207.0,2101.72,Booking.com
Hotel Boutique Molino de Enmedio,Huéneja,9.5,Exceptional,223,9.7,Family Suite,"2 beds (1 sofa bed, 1 queen)",352115.0,2934.29,Booking.com
City center nearby the beach +3Bed +2Bath +Wifi,Las Palmas de Gran Canaria,8.9,Excellent,49,9.3,Three-Bedroom Apartment,"4 beds (2 twins, 2 fulls)",347377.0,2894.81,Booking.com
"Casa Rural Herencia de Ganaderos ""Sierra de Gredos- Ávila""",San Martín de la Vega del Alberche,9.4,Wonderful,7,9.6,Two-Bedroom House,"3 beds (1 twin, 2 fulls)",511334.0,4261.12,Booking.com
Seafront recently renovated apartments,Benalmádena,8.6,Excellent,32,9.0,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",329545.0,2746.21,Booking.com
Apartaments Colibri,Cambrils,8.8,Excellent,91,8.8,Apartment - Ground Floor,"6 beds (3 twins, 2 bunk beds, 1 queen)",275588.0,2296.57,Booking.com
Heliopolis,San Agustin,9.1,Wonderful,25,9.4,Apartment with Sea View,"3 beds (1 sofa bed, 2 queens)",186240.0,1552.0,Booking.com
Apartamentos Cabrera,Puerto del Carmen,8.9,Excellent,378,8.8,Studio Apartment,2 twin beds,223952.0,1866.27,Booking.com
Apartahotel Líbere Vitoria,Vitoria-Gasteiz,8.5,Very Good,3322,8.9,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",194366.0,1619.72,Booking.com
Luz de Azahar Bed and Breakfast,Peniscola,9.2,Wonderful,731,9.6,Three-Bedroom Apartment (4-6 Adults),"4 beds (2 twins, 2 fulls)",194942.0,1624.52,Booking.com
Coqueto estudio en Calle Vela,Benalmádena,8.1,Very Good,85,8.1,Queen Studio,1 full bed,164483.0,1370.69,Booking.com
Grupotel Monte Feliz,San Agustin,8.0,Very Good,5125,8.2,Two-Bedroom Apartment (2 Adults),"5 beds (4 twins, 1 sofa bed)",195917.0,1632.64,Booking.com
Aparthotel Novo Mar,Paguera,8.4,Very Good,245,8.5,Two-Bedroom Apartment (3 Adults),Multiple bed types,544443.0,4537.02,Booking.com
Bungalows Santa Clara,Playa del Ingles,7.2,Good,33,,Two-Bedroom House,4 twin beds,153691.0,1280.76,Booking.com
Apartamento Vacacional con vistas al mar,Santa Cruz de Tenerife,9.1,Wonderful,40,9.2,Studio Apartment with Sea View,"2 beds (1 full, 1 sofa bed)",186414.0,1553.45,Booking.com
"Maday Home , big terrace and swimingpool",Granadilla de Abona,8.8,Excellent,22,9.2,Two-Bedroom Apartment,"2 beds (1 twin, 1 full)",173621.0,1446.84,Booking.com
Ramada Residences by Wyndham Costa del Sol,Mijas Costa,8.2,Very Good,726,8.5,Superior Two bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",258038.0,2150.32,Booking.com
CASA NANO,Santa María del Páramo,9.3,Wonderful,9,8.8,Three-Bedroom House,"5 beds (2 twins, 2 fulls, 1 sofa bed)",233931.0,1949.42,Booking.com
APARTAMENTO NUEVO CON PISCINA EN EL CAMPO DE GOLF MOSA TRAJECTUM,Murcia,9.2,Wonderful,41,9.5,Two-Bedroom Apartment,"3 beds (2 twins, 1 queen)",272107.0,2267.56,Booking.com
Boí Taüll CALMA DÚPLEX,Taüll,9.0,Wonderful,2,10.0,Apartment with Mountain View,"6 beds (2 twins, 1 full, 2 bunk beds, 1 sofa bed)",508243.0,4235.36,Booking.com
Apartamento Aticoroel,Jaca,9.2,Wonderful,14,9.3,One-Bedroom Apartment,4 twin beds,292414.0,2436.78,Booking.com
GOLDEN TOWER pensión,Gandía,7.1,Good,383,,Double Room with Terrace,1 full bed,131470.0,1095.58,Booking.com
"Buhardilla en calle Ancha, pleno centro",Sanlúcar de Barrameda,9.4,Wonderful,14,10.0,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",262244.0,2185.37,Booking.com
Casa Tomarén,San Bartolomé,8.1,Very Good,133,8.0,Studio (2 Adults),1 queen bed,316781.0,2639.84,Booking.com
Cas Comte Suites & Spa - Adults Only,Lloseta,8.6,Excellent,1364,9.2,Suite with Hot Tub,1 king bed,432238.0,3601.98,Booking.com
InmoSantos Apartaments Nuria,"Santa Margarida, Roses",8.1,Very Good,313,8.3,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",190914.0,1590.95,Booking.com
Apartamentos Las Carabelas,Benidorm,7.9,Good,655,,One-Bedroom Apartment,"4 beds (2 twins, 2 sofa beds)",180438.0,1503.65,Booking.com
Aparthotel Diamant Blue,Playas de Orihuela,6.6,Review score,611,,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",207039.0,1725.32,Booking.com
ConilPlus Apartment LORCA,"City Center, Conil de la Frontera",6.9,Review score,24,,Three-Bedroom Apartment,"4 beds (2 twins, 2 fulls)",210872.0,1757.27,Booking.com
Hotel Manises,Manises,6.1,Review score,1443,,Budget Twin Room,2 twin beds,105594.0,879.95,Booking.com
Egona -Apartamentos Itxaropena Zarautz,Zarautz,8.7,Excellent,109,9.0,Apartment - Ground Floor,"3 beds (2 twins, 1 sofa bed)",381414.0,3178.45,Booking.com
Hotel Avenida del Sotillo,La Lastrilla,7.3,Good,1087,,Double or Twin Room,2 twin beds,182294.0,1519.12,Booking.com
APARTAMENTOS EN EL CENTRO DE LOS CRISTIANOS,Arona,8.0,Very Good,27,8.0,One-Bedroom Apartment,2 twin beds,122281.0,1019.01,Booking.com
Hostal Juan Bravo,Segovia,7.5,Good,1889,,Deluxe Double or Twin Room with City View,1 full bed,280810.0,2340.08,Booking.com
