hotel_name,location,rating,review_score,num_reviews,room_score,room_type,bed_type,price_bdt,price_eur,source
V20 Boutique Jacuzzi Hotel - SHA Extra Plus,"Chatuchak, Bangkok",9.0,Wonderful,596,9.3,Family Room with Balcony,1 king bed,135083.0,1125.69,Booking.com
"Anantasila Villa by the sea, Hua Hin - SHA Extra Plus","Khao Takiab, Hua Hin",8.9,Excellent,210,9.3,Double Room with Balcony and Pool View,2 queen beds,367133.0,3059.44,Booking.com
U Sabai Living Hotel - SHA Certified,Patong Beach,8.7,Excellent,331,9.0,Standard Double Room,1 king bed,51571.0,429.76,Booking.com
Majestic Suites Hotel,"Khlong Toei, Bangkok",8.0,Very Good,914,8.4,Deluxe Room,1 full bed,130384.0,1086.53,Booking.com
Muan Hotel,"Si Phum, Chiang Mai",8.6,Excellent,20,8.9,Family Room with Private Bathroom,"2 beds (1 full, 1 bunk bed)",109797.0,914.98,Booking.com
Sabai Sabana - formerly Sabai Wing,Pattaya,7.6,Good,70,8.1,Standard Twin Room,2 twin beds,78459.0,653.83,Booking.com
Marina House MUAYTHAI Ta-iad Phuket,Chalong,8.4,Very Good,44,8.5,Standard Double Room,1 queen bed,69733.0,581.11,Booking.com
Koh Tao Cabana,"Sairee Beach, Ko Tao",8.8,Excellent,244,9.1,Cottage Treetop Villa,1 king bed,297597.0,2479.98,Booking.com
Arize Hotel Sukhumvit,"Khlong Toei, Bangkok",7.4,Good,838,,Deluxe Double Room,1 king bed,148604.0,1238.37,Booking.com
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,,Deluxe Double Room with Balcony,1 king bed,40230.0,335.25,Booking.com
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,,Deluxe Double Room with Balcony,1 king bed,40230.0,335.25,Booking.com
Grace Hotel,"Wattana, Bangkok",6.5,Review score,954,,Superior Double or Twin Room,Multiple bed types,106876.0,890.63,Booking.com
Baan Hin Sai Resort & Spa - SHA Extra Plus,Chaweng Noi Beach,8.3,Very Good,126,8.2,Standard Double or Twin Room,1 double or 2 twins,116388.0,969.9,Booking.com
Papillon Resort,"Chaweng Beachfront, Chaweng",8.5,Very Good,222,8.6,Superior Bungalow,1 queen bed,92329.0,769.41,Booking.com
Lanna Palace 2004,"Chang Khlan, Chiang Mai",6.1,Review score,25,,Standard Twin Room,2 twin beds,55129.0,459.41,Booking.com
Santhiya Koh Yao Yai Resort & Spa,Ko Yao Yai,8.6,Excellent,1083,8.9,Plus Round Trip Join Speedboat As Scheduled Transfer - Supreme Deluxe Sea View,1 queen bed,292272.0,2435.6,Booking.com
SR Sea View Apartments,Patong Beach,6.8,Review score,106,,Deluxe Double Room with Sea View,1 queen bed,46189.0,384.91,Booking.com
Grand Orlov,Patong Beach,8.0,Very Good,17,,Standard King Room,1 queen bed,75810.0,631.75,Booking.com
Samed Cliff Resort,"Ao Noi Nha, Ko Samed",6.8,Review score,44,,Standard Double Room,1 king bed,186322.0,1552.68,Booking.com
Lanta Amara Resort,"Long Beach, Ko Lanta",9.4,Wonderful,63,9.7,Large Double Room,1 king bed,95262.0,793.85,Booking.com
Nasa Bangkok - SHA PLUS Certified,Bangkok,7.9,Good,2688,8.1,Standard Double or Twin Room,1 double or 2 twins,52079.0,433.99,Booking.com
"Nature Beach Resort, Koh Lanta","Klong Nin Beach, Ko Lanta",8.4,Very Good,344,8.3,Double Room with Fan,1 full bed,26201.0,218.34,Booking.com
Blue View House Phi Phi,Phi Phi Islands,8.1,Very Good,494,8.0,Double Room with Balcony,1 queen bed,89279.0,743.99,Booking.com
Villa Navin,Jomtien Beach,6.7,Review score,368,,Deluxe Studio,1 queen bed,66959.0,557.99,Booking.com
The Malika Hotel - SHA Extra Plus,Phuket,8.7,Excellent,489,9.2,Room with City View,1 queen bed,97042.0,808.68,Booking.com
Forra Dive Resort Pattaya Beach,"Ko Lipe Pattaya Beach, Ko Lipe",6.9,Review score,74,,Standard Bungalow with Garden View,1 queen bed,60998.0,508.32,Booking.com
Chanchalay Hip Hostel SHA Extra Plus,Krabi,9.1,Wonderful,473,9.2,Double or Twin room with shared bathroom (Air conditioning),1 double or 2 twins,32902.0,274.18,Booking.com
The Ozone Krabi Condotel,Krabi,8.3,Very Good,167,8.4,Triple Room with Mountain View,1 full bed,72181.0,601.51,Booking.com
Wixky hotel,Nong Khai,7.9,Good,24,,Deluxe Queen Room,1 queen bed,64048.0,533.73,Booking.com
Andaman Pearl Resort,Ao Nang Beach,8.5,Very Good,167,8.7,Deluxe Room,1 double or 2 twins,82153.0,684.61,Booking.com
Cliff Cottage,"Bang Bao Bay, Ko Chang",8.7,Excellent,247,8.2,Tent- Mongolian Tent for 2 Adults,2 twin beds,58225.0,485.21,Booking.com
Phuket Beach Glamping,Rawai Beach,7.8,Good,48,,Geo Tent,1 queen bed,295702.0,2464.18,Booking.com
